"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"2016","COL","75","87","37","695","162","1429.1","7.70","3.44","1.14",".317","68.0%","49.1%","14.1%","93.7","4.92","","4.38","4.23","13.1"
"2015","OAK","68","94","28","649","162","1444.2","7.34","2.95","1.07",".289","71.0%","45.0%","11.4%","92.7","4.16","","4.13","4.13","13.0"
"2019","ARI","85","77","45","719","162","1465.0","8.77","3.17","1.35",".295","74.0%","43.1%","15.2%","92.5","4.25","","4.40","4.42","12.9"
"2021","KCR","74","88","37","718","162","1417.1","8.53","3.75","1.20",".301","70.3%","42.2%","12.6%","94.0","4.64","","4.39","4.52","12.7"
"2022","COL","68","94","43","659","162","1425.1","7.50","3.40","1.16",".312","66.8%","44.1%","12.1%","94.0","5.08","","4.38","4.29","12.6"
"2016","TEX","95","67","56","641","162","1443.0","7.20","3.33","1.25",".292","72.8%","45.5%","13.5%","92.9","4.38","","4.58","4.49","12.6"
"2019","MIL","89","73","50","750","162","1459.1","9.23","3.52","1.39",".292","73.1%","42.2%","15.6%","93.9","4.40","","4.46","4.42","12.5"
"2021","STL","90","72","50","718","162","1417.0","7.78","3.86","0.97",".272","73.2%","43.7%","10.8%","93.4","4.00","","4.30","4.66","12.4"
"2019","ATL","97","65","44","737","162","1450.2","8.64","3.40","1.26",".302","73.8%","45.2%","15.0%","93.2","4.20","","4.39","4.42","12.4"
"2018","SDP","66","96","36","697","162","1457.0","8.64","3.21","1.14",".305","71.1%","44.4%","13.6%","92.1","4.41","","4.10","3.99","12.4"
"2015","MIA","71","91","35","648","162","1427.0","7.27","3.20","0.89",".294","72.3%","44.5%","9.5%","93.7","4.04","","3.98","4.23","12.2"
"2018","LAA","80","82","35","763","162","1437.1","8.68","3.42","1.28",".294","74.1%","42.1%","14.1%","93.0","4.15","","4.36","4.18","12.2"
"2015","LAA","85","77","46","680","162","1440.2","7.63","2.91","1.04",".285","73.3%","41.5%","10.0%","91.8","3.94","","4.05","4.26","12.2"
"2016","KCR","81","81","41","634","162","1440.0","8.04","3.23","1.29",".298","75.4%","44.3%","13.4%","93.8","4.21","","4.42","4.33","12.1"
"2018","ARI","82","80","39","735","162","1463.0","8.91","3.21","1.07",".289","75.7%","47.3%","13.7%","92.1","3.73","","3.91","3.81","12.0"
"2022","BAL","83","79","46","703","162","1433.1","7.62","2.78","1.07",".296","73.2%","43.2%","10.9%","93.5","3.97","","4.03","4.10","11.9"
"2015","BOS","78","84","40","637","162","1448.1","7.57","2.97","1.11",".305","71.6%","44.1%","11.6%","93.1","4.34","","4.17","4.14","11.8"
"2015","DET","74","87","35","666","161","1447.0","6.84","3.04","1.20",".298","69.7%","42.9%","12.0%","93.1","4.64","","4.46","4.36","11.7"
"2017","DET","64","98","32","672","162","1420.1","7.62","3.41","1.38",".320","68.7%","39.4%","12.8%","93.4","5.36","","4.73","4.87","11.5"
"2017","SFG","64","98","32","664","162","1452.0","7.65","3.07","1.13",".308","71.1%","42.5%","11.5%","92.7","4.50","","4.22","4.53","11.4"
"2018","MIN","78","84","37","728","162","1443.1","8.59","3.57","1.23",".302","72.4%","41.6%","13.2%","92.7","4.50","","4.39","4.33","11.4"
"2020","CLE","35","25","20","241","60","536.0","10.43","2.64","1.14",".285","78.5%","40.5%","13.4%","93.3","3.29","","3.55","3.73","11.2"
"2017","TEX","78","84","29","626","162","1434.1","6.95","3.51","1.34",".289","70.9%","44.2%","13.6%","93.3","4.70","","4.88","4.89","11.2"
"2016","MIL","73","89","46","675","162","1434.1","7.37","3.34","1.12",".300","73.1%","46.0%","12.4%","93.3","4.10","","4.37","4.42","11.1"
"2015","TEX","88","74","45","660","162","1442.2","6.83","3.17","1.07",".294","72.4%","44.2%","11.2%","92.8","4.25","","4.34","4.37","11.0"
"2017","LAA","80","82","43","705","162","1440.2","8.20","2.94","1.40",".289","74.9%","41.6%","14.1%","92.9","4.20","","4.43","4.37","11.0"
"2018","TEX","67","95","42","668","162","1431.0","7.05","3.09","1.40",".299","69.6%","43.0%","14.1%","93.0","4.92","","4.79","4.58","10.9"
"2015","CIN","64","98","35","683","162","1453.1","7.75","3.37","1.10",".297","71.7%","44.1%","12.1%","94.0","4.35","","4.24","4.14","10.8"
"2021","CLE","80","82","39","697","162","1408.0","8.89","3.34","1.38",".282","72.8%","42.6%","14.7%","93.9","4.34","","4.43","4.27","10.7"
"2022","MIN","78","84","28","710","162","1437.0","8.37","2.93","1.15",".285","73.3%","40.0%","11.0%","92.8","3.98","","4.03","4.10","10.7"
"2016","MIN","59","103","26","695","162","1443.0","7.43","2.99","1.38",".319","68.3%","43.0%","13.9%","92.5","5.09","","4.57","4.42","10.7"
"2015","ARI","79","83","44","712","162","1466.2","7.46","3.07","1.12",".294","73.7%","45.7%","12.3%","93.6","4.05","","4.21","4.09","10.6"
"2016","TBR","68","94","42","647","162","1426.1","8.56","3.10","1.33",".297","74.2%","41.0%","13.1%","93.3","4.20","","4.26","4.22","10.6"
"2019","DET","47","114","31","738","161","1433.0","8.59","3.37","1.57",".317","68.8%","42.7%","15.9%","92.7","5.26","","4.84","4.75","10.3"
"2015","PHI","63","99","35","665","162","1436.1","7.22","3.06","1.20",".316","71.1%","44.0%","12.2%","92.8","4.69","","4.40","4.29","10.3"
"2016","ARI","69","93","31","737","162","1451.1","8.17","3.74","1.25",".320","68.7%","46.0%","14.1%","93.7","5.09","","4.50","4.34","10.1"
"2020","CIN","31","29","9","228","60","504.0","10.98","3.80","1.20",".278","72.8%","43.2%","14.6%","94.6","3.89","","3.92","3.95","10.1"
"2018","DET","64","98","37","704","162","1425.1","7.67","3.10","1.36",".291","70.5%","39.6%","12.9%","92.2","4.60","","4.59","4.55","10.0"
"2015","MIL","68","94","40","658","162","1435.0","7.90","3.24","1.10",".303","72.1%","46.1%","12.7%","93.0","4.28","","4.17","3.99","9.9"
"2022","CIN","62","100","31","736","162","1423.1","8.94","3.87","1.35",".298","71.1%","40.6%","13.3%","94.7","4.86","","4.59","4.31","9.9"
"2018","CHW","62","100","34","715","162","1437.0","7.89","4.09","1.23",".292","69.4%","40.8%","11.7%","93.3","4.85","","4.73","4.88","9.8"
"2022","BOS","78","84","39","738","162","1431.0","8.47","3.31","1.16",".304","69.8%","42.8%","11.8%","94.1","4.53","","4.17","4.11","9.8"
"2015","SDP","74","88","41","678","162","1440.1","8.70","3.22","1.07",".303","71.1%","46.9%","13.3%","93.3","4.09","","3.93","3.71","9.7"
"2017","OAK","75","87","35","687","162","1431.0","7.56","3.16","1.32",".294","68.9%","44.9%","13.9%","92.8","4.67","","4.57","4.54","9.6"
"2022","PIT","62","100","33","666","162","1421.0","7.92","3.71","1.04",".304","68.7%","43.9%","10.9%","93.8","4.66","","4.27","4.34","9.5"
"2022","DET","66","96","38","742","162","1419.2","7.58","3.24","1.06",".284","71.3%","41.7%","10.2%","93.0","4.04","","4.16","4.34","9.4"
"2020","MIN","36","24","17","262","60","513.1","9.38","2.98","1.09",".288","76.8%","40.8%","12.1%","92.0","3.58","","3.79","4.15","9.4"
"2017","SEA","78","84","39","689","162","1440.1","7.77","3.06","1.48",".283","72.7%","40.3%","14.1%","93.2","4.46","","4.70","4.64","9.3"
"2020","MIL","29","31","14","249","60","517.1","10.68","3.29","1.17",".296","70.5%","46.6%","15.2%","93.3","4.18","","3.80","3.76","9.1"
"2015","SEA","76","86","45","671","162","1463.0","7.89","3.02","1.11",".298","72.8%","46.3%","12.5%","93.3","4.16","","4.14","3.99","9.1"
"2016","ATL","68","93","39","748","161","1447.2","7.63","3.40","1.10",".293","70.2%","44.7%","11.7%","93.8","4.51","","4.32","4.48","9.0"
"2016","PIT","78","83","51","687","162","1450.2","7.64","3.31","1.12",".306","72.5%","46.9%","13.0%","94.0","4.22","","4.30","4.28","9.0"
"2017","ATL","72","90","36","692","162","1441.1","7.86","3.65","1.20",".302","70.1%","44.5%","12.5%","93.9","4.72","","4.51","4.67","9.0"
"2020","LAD","43","17","15","309","60","538.2","8.64","2.42","1.10",".252","75.8%","46.3%","13.2%","94.4","3.02","","3.79","3.99","8.9"
"2017","MIN","85","77","42","682","162","1436.0","7.31","3.03","1.40",".296","72.5%","42.4%","13.5%","92.4","4.60","","4.71","4.75","8.9"
"2019","TOR","67","95","33","753","162","1440.1","8.32","3.77","1.42",".300","71.8%","43.1%","14.9%","93.2","4.79","","4.82","4.88","8.9"
"2022","TEX","68","94","37","694","162","1435.0","8.24","3.64","1.06",".292","71.2%","45.9%","11.9%","94.7","4.22","","4.18","4.11","8.9"
"2021","DET","77","85","42","739","162","1419.2","7.98","3.62","1.26",".289","72.6%","44.5%","13.2%","94.1","4.32","","4.60","4.65","8.8"
"2015","SFG","84","78","41","719","162","1444.1","7.26","2.69","0.97",".283","74.5%","46.0%","10.8%","92.3","3.73","","3.91","3.98","8.8"
"2018","CIN","67","95","38","706","162","1441.0","7.86","3.32","1.42",".300","71.5%","44.4%","15.8%","94.0","4.65","","4.68","4.28","8.7"
"2017","NYM","70","92","34","730","162","1434.2","8.62","3.72","1.38",".319","70.4%","44.4%","14.9%","93.6","5.01","","4.59","4.42","8.7"
"2022","CHC","74","88","44","690","162","1443.2","8.62","3.37","1.29",".287","73.5%","43.1%","13.5%","92.8","4.03","","4.33","4.04","8.7"
"2019","PIT","69","93","31","712","162","1440.0","9.02","3.65","1.51",".315","68.9%","42.2%","15.7%","93.7","5.19","","4.78","4.72","8.7"
"2016","SDP","68","94","35","672","162","1440.0","7.64","3.56","1.14",".296","71.3%","46.4%","12.6%","92.7","4.44","","4.40","4.42","8.6"
"2017","BAL","75","87","35","654","162","1441.0","7.70","3.62","1.51",".302","72.2%","44.6%","15.4%","93.3","4.97","","4.96","4.72","8.6"
"2019","PHI","81","81","36","726","162","1453.2","8.62","3.38","1.60",".298","74.7%","43.1%","17.9%","93.0","4.53","","4.88","4.55","8.5"
"2018","TOR","73","89","39","752","162","1433.2","8.15","3.46","1.31",".306","70.0%","42.5%","12.7%","91.9","4.85","","4.53","4.54","8.5"
"2020","SDP","37","23","13","278","60","520.1","9.77","2.94","1.21",".290","74.0%","42.5%","14.1%","95.2","3.87","","3.88","3.97","8.3"
"2019","SFG","77","85","41","749","162","1469.0","8.38","3.18","1.39",".286","72.6%","42.2%","15.1%","92.9","4.38","","4.55","4.58","8.3"
"2015","COL","68","94","36","746","162","1426.1","7.02","3.65","1.15",".318","69.9%","47.7%","13.2%","93.3","5.04","","4.56","4.33","8.3"
"2016","LAA","74","88","29","689","162","1421.1","7.19","3.15","1.32",".301","75.0%","40.8%","12.5%","92.0","4.28","","4.62","4.66","8.0"
"2017","SDP","71","91","45","679","162","1430.2","8.34","3.49","1.42",".299","71.1%","47.5%","16.4%","93.2","4.70","","4.68","4.34","7.9"
"2019","KCR","59","103","37","682","162","1425.0","7.77","3.68","1.40",".311","70.2%","43.9%","14.7%","93.2","5.20","","4.90","4.98","7.9"
"2021","BAL","52","110","26","731","162","1402.0","7.92","3.61","1.66",".305","66.7%","39.7%","15.1%","92.9","5.85","","5.15","4.91","7.8"
"2022","ARI","74","88","33","708","162","1430.0","7.65","3.17","1.20",".282","71.2%","39.8%","11.5%","92.6","4.25","","4.33","4.32","7.7"
"2019","LAA","72","90","32","751","162","1442.2","8.76","3.59","1.67",".290","70.9%","40.4%","17.0%","93.3","5.12","","5.04","4.80","7.5"
"2020","OAK","36","24","17","241","60","515.1","8.84","2.88","1.21",".285","75.6%","41.2%","12.3%","93.1","3.77","","4.02","4.38","7.5"
"2022","KCR","65","97","33","722","162","1416.0","7.57","3.74","1.10",".312","70.3%","43.8%","11.2%","93.9","4.72","","4.42","4.44","7.5"
"2018","BAL","47","115","28","652","162","1431.0","7.57","3.70","1.47",".310","70.0%","41.9%","14.4%","93.0","5.19","","4.98","4.73","7.1"
"2020","TBR","40","20","23","279","60","527.2","9.42","2.87","1.19",".291","77.2%","45.1%","14.9%","94.2","3.56","","3.94","3.94","7.1"
"2015","ATL","67","95","44","694","162","1425.1","7.25","3.47","1.07",".305","71.4%","43.4%","11.3%","93.6","4.41","","4.34","4.36","7.0"
"2019","BAL","54","108","27","695","162","1443.0","7.78","3.50","1.90",".295","68.5%","40.5%","17.4%","92.4","5.67","","5.56","5.23","6.9"
"2021","MIN","73","89","42","691","162","1419.1","8.35","3.07","1.52",".290","68.9%","41.0%","15.0%","92.2","4.83","","4.66","4.44","6.8"
"2021","WSN","65","97","36","731","162","1394.1","8.69","3.54","1.59",".289","71.0%","41.0%","16.0%","93.3","4.82","","4.87","4.53","6.8"
"2018","KCR","58","104","33","645","162","1432.0","7.27","3.45","1.29",".309","70.6%","43.1%","13.0%","93.0","4.95","","4.66","4.63","6.7"
"2020","CHW","35","25","13","284","60","527.0","8.93","3.71","1.21",".269","75.1%","44.2%","14.5%","94.5","3.81","","4.32","4.36","6.6"
"2020","BAL","25","35","11","267","60","518.2","8.45","3.33","1.37",".282","69.7%","42.6%","14.6%","92.8","4.51","","4.60","4.63","6.5"
"2020","CHC","34","26","16","248","60","518.1","9.08","3.16","1.28",".278","75.0%","45.0%","16.0%","92.8","3.99","","4.18","4.04","6.5"
"2020","HOU","29","31","16","253","60","524.0","9.03","3.73","1.20",".288","71.5%","44.2%","14.0%","92.9","4.31","","4.33","4.43","6.3"
"2019","COL","71","91","28","752","162","1448.2","7.85","3.66","1.68",".308","68.5%","46.1%","19.0%","94.1","5.58","","5.23","4.75","6.0"
"2020","PHI","28","32","11","249","60","497.0","9.63","3.35","1.45",".343","69.4%","46.6%","18.6%","94.1","5.20","","4.43","4.00","5.8"
"2019","MIA","57","105","27","701","162","1444.1","8.59","3.83","1.47",".281","72.1%","38.3%","14.2%","93.5","4.74","","4.89","5.06","5.8"
"2021","PIT","61","101","25","745","162","1396.1","8.46","3.91","1.37",".302","70.1%","40.9%","13.8%","93.4","5.08","","4.74","4.70","5.7"
"2020","NYY","33","27","14","234","60","500.2","9.49","3.02","1.49",".280","71.1%","42.9%","16.0%","94.4","4.35","","4.39","4.24","5.6"
"2017","MIA","77","85","34","742","162","1442.2","7.50","3.91","1.20",".298","70.7%","42.5%","12.2%","92.8","4.82","","4.69","4.90","5.5"
"2019","SEA","68","94","34","700","162","1439.1","7.75","3.16","1.63",".291","68.4%","43.4%","16.4%","92.1","5.00","","5.00","4.85","5.4"
"2020","LAA","26","34","12","288","60","525.1","8.96","3.41","1.40",".287","65.5%","39.4%","14.0%","92.7","5.09","","4.49","4.60","5.4"
"2021","TEX","60","102","31","669","162","1424.1","7.83","3.24","1.47",".288","70.3%","42.4%","14.9%","93.6","4.80","","4.76","4.57","5.4"
"2017","CIN","68","94","33","666","162","1430.0","8.18","3.97","1.56",".296","71.1%","44.6%","16.8%","93.5","5.17","","5.08","4.66","5.3"
"2020","NYM","26","34","11","257","60","513.1","10.06","3.84","1.42",".316","69.9%","41.7%","15.8%","94.6","5.01","","4.46","4.33","5.0"
"2017","CHW","67","95","25","682","162","1421.2","7.55","4.00","1.53",".281","72.4%","41.9%","14.7%","93.2","4.78","","5.17","5.01","4.4"
"2020","KCR","26","34","19","292","60","517.0","9.00","3.67","1.32",".303","73.9%","44.4%","15.0%","93.9","4.30","","4.50","4.47","4.1"
"2020","ATL","35","25","13","288","60","524.1","8.69","3.78","1.18",".294","70.6%","43.7%","13.2%","92.8","4.46","","4.42","4.63","4.0"
"2020","TOR","32","28","17","286","60","524.2","8.90","4.29","1.39",".302","70.3%","43.1%","14.9%","92.9","4.63","","4.73","4.72","4.0"
"2020","SFG","29","31","13","296","60","517.2","8.48","3.65","1.20",".281","67.8%","38.8%","12.1%","93.1","4.64","","4.45","4.84","3.8"
"2021","CHC","71","91","40","761","162","1412.2","8.65","3.80","1.50",".294","70.9%","44.8%","17.2%","93.0","4.88","","4.88","4.43","3.8"
"2020","STL","30","28","13","234","58","473.0","8.83","3.88","1.31",".250","74.0%","44.4%","15.4%","93.3","3.92","","4.58","4.52","3.7"
"2022","OAK","60","102","34","692","162","1426.1","7.59","3.17","1.23",".289","70.7%","41.4%","11.5%","92.9","4.54","","4.41","4.39","3.6"
"2020","COL","26","34","16","249","60","526.1","6.72","3.51","1.42",".307","66.5%","44.5%","15.0%","94.3","5.59","","5.14","5.13","3.5"
"2021","ARI","52","110","22","727","162","1417.1","7.86","3.52","1.47",".299","68.2%","40.2%","13.8%","92.2","5.15","","4.88","4.85","3.3"
"2020","SEA","27","33","15","249","60","516.2","8.17","4.01","1.38",".281","69.9%","40.3%","13.5%","92.3","5.03","","4.91","5.11","3.2"
"2020","WSN","26","34","12","262","60","503.2","9.08","3.86","1.68",".317","74.1%","37.9%","16.3%","92.8","5.09","","5.02","4.80","2.9"
"2020","TEX","22","38","10","264","60","516.2","8.52","4.11","1.41",".277","68.6%","40.6%","14.0%","93.2","5.02","","4.88","5.00","2.9"
"2020","PIT","19","41","6","269","60","513.0","9.40","4.37","1.40",".280","70.2%","43.4%","16.2%","93.2","4.68","","4.80","4.63","2.9"
"2020","MIA","31","29","18","275","60","504.0","8.05","4.04","1.46",".297","70.6%","45.2%","15.7%","92.5","4.86","","5.02","4.90","2.4"
"2018","MIA","63","98","30","707","161","1442.0","7.80","3.78","1.20",".290","69.9%","40.9%","12.1%","92.9","4.76","","4.57","4.65","2.4"
"2020","ARI","25","35","13","260","60","518.1","9.10","4.08","1.61",".294","74.0%","38.4%","15.7%","93.3","4.84","","5.00","4.87","1.1"
"2022","WSN","55","107","28","750","162","1411.2","7.78","3.56","1.56",".297","70.8%","41.5%","14.4%","93.7","5.00","","4.98","4.51","1.0"
"2016","CIN","68","94","28","646","162","1442.0","7.75","3.97","1.61",".290","72.8%","41.6%","15.9%","93.0","4.91","","5.24","4.79","1.0"
"2020","DET","23","35","11","276","58","492.1","8.12","3.51","1.66",".297","68.7%","42.2%","17.1%","93.4","5.63","","5.17","4.85","0.9"
"2020","BOS","24","36","14","292","60","524.0","9.22","4.33","1.68",".332","70.8%","42.9%","18.9%","94.0","5.58","","5.19","4.67","0.1"
